site,site_lat,site_lon,id,lat,lon,scientific_name,growth_form,genus,species,family
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06544,44.067803520326166,-71.28939114547482,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06800,44.067539000394056,-71.2872569480853,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06598,44.06660640086996,-71.28963923548808,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06569,44.06721160070279,-71.28967669211664,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06797,44.06615995052536,-71.28719568375045,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06793,44.0660986364304,-71.28756793668687,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06543,44.0678712441394,-71.28915379399074,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06794,44.06693490054788,-71.28725321160805,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06796,44.06725224990427,-71.28718112285816,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06582,44.06727725065188,-71.28728219889936,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06799,44.06723225064977,-71.28728009885113,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06068,44.066343200365566,-71.28965520612886,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06700,44.06602232927147,-71.2891701863758,Fagus grandifolia Ehrh.,Deciduous broadleaf,Fagus,grandifolia,Fagaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06699,44.06717224948457,-71.28712743497363,Fagus grandifolia Ehrh.,Deciduous broadleaf,Fagus,grandifolia,Fagaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06570,44.06681229928144,-71.2897685474326,Epifagus virginiana (L.) W.P.C. Barton,Forb,Epifagus,virginiana,Orobanchaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06493,44.06739500038976,-71.2872502279525,Medeola virginiana L.,Forb,Medeola,virginiana,Liliaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06494,44.06789939272087,-71.2872731333023,Medeola virginiana L.,Forb,Medeola,virginiana,Liliaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06495,44.06791498595947,-71.28747158671372,Aralia nudicaulis L.,Forb,Aralia,nudicaulis,Araliaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06496,44.0678832428884,-71.28854803366971,Medeola virginiana L.,Forb,Medeola,virginiana,Liliaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06498,44.06721110035287,-71.28970164605995,Aralia nudicaulis L.,Forb,Aralia,nudicaulis,Araliaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06562,44.066404048616505,-71.2897851541019,Medeola virginiana L.,Forb,Medeola,virginiana,Liliaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06497,44.06787298954237,-71.28952012095564,Mitchella repens L.,Evergreen broadleaf - no leaf buds,Mitchella,repens,Rubiaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06482,44.067346400358645,-71.2897004459851,Trientalis borealis Raf. ssp. borealis,Forb,Trientalis,borealis,Primulaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06480,44.06757190036194,-71.28969844587645,Trientalis borealis Raf. ssp. borealis,Forb,Trientalis,borealis,Primulaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06491,44.06725249980485,-71.28716864585596,Aralia nudicaulis L.,Forb,Aralia,nudicaulis,Araliaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06481,44.06752680036193,-71.28969884589658,Aralia nudicaulis L.,Forb,Aralia,nudicaulis,Araliaceae
