site,sitename,date
DV,Denver,2003-10-12
DV,Denver,2003-09-07
AT,Austin,2003-12-22
AT,Austin,2003-10-23
DV,Denver,2003-07-08
DV,Denver,2003-07-01
AT,Austin,2003-07-19
AT,Austin,2003-10-11
AT,Austin,2003-12-23
DV,Denver,2003-09-26
TP,Tampa,2003-07-14
ST,Seattle,2003-07-18
DV,Denver,2003-07-23
DV,Denver,2003-10-09
AT,Austin,2003-07-30
DV,Denver,2003-10-15
TP,Tampa,2003-07-02
DV,Denver,2003-08-08
AT,Austin,2003-10-27
TP,Tampa,2003-07-23
AT,Austin,2003-08-27
DV,Denver,2003-08-02
AT,Austin,2003-09-03
DV,Denver,2003-07-15
DV,Denver,2003-09-13
AT,Austin,2003-07-11
AT,Austin,2003-10-05
TP,Tampa,2003-07-03
AT,Austin,2003-08-22
AT,Austin,2003-10-17
DV,Denver,2003-10-16
AT,Austin,2003-07-26
AT,Austin,2003-11-17
TP,Tampa,2003-09-15
ST,Seattle,2003-07-14
DV,Denver,2003-09-20
AT,Austin,2003-07-22
AT,Austin,2003-09-24
AT,Austin,2003-12-02
ST,Seattle,2004-05-12
TP,Tampa,2004-04-22
DV,Denver,2004-03-07
AT,Austin,2004-01-14
DV,Denver,2004-06-28
ST,Seattle,2004-04-02
AT,Austin,2004-05-03
DV,Denver,2004-05-27
ST,Seattle,2004-02-12
ST,Seattle,2004-06-07
AT,Austin,2004-06-13
ST,Seattle,2004-05-28
ST,Seattle,2004-04-13
ST,Seattle,2004-04-06
ST,Seattle,2004-06-17
DV,Denver,2004-03-03
AT,Austin,2004-06-04
ST,Seattle,2004-04-22
DV,Denver,2004-03-24
AT,Austin,2004-03-18
AT,Austin,2004-06-15
DV,Denver,2004-03-20
DV,Denver,2004-03-18
DV,Denver,2004-06-03
DV,Denver,2004-04-14
AT,Austin,2004-02-20
AT,Austin,2004-03-15
ST,Seattle,2004-05-14
DV,Denver,2004-03-12
DV,Denver,2004-03-11
AT,Austin,2004-03-30
AT,Austin,2004-03-08
DV,Denver,2004-03-25
AT,Austin,2004-06-17
AT,Austin,2004-06-21
DV,Denver,2004-05-18
AT,Austin,2004-03-05
AT,Austin,2004-02-01
AT,Austin,2004-03-12
ST,Seattle,2004-04-08
ST,Seattle,2004-06-23
AT,Austin,2004-01-04
ST,Seattle,2004-03-29
ST,Seattle,2004-02-26
DV,Denver,2004-05-25
DV,Denver,2004-04-24
ST,Seattle,2004-04-05
ST,Seattle,2004-05-13
ST,Seattle,2004-03-10
ST,Seattle,2004-03-23
AT,Austin,2004-04-21
AT,Austin,2004-01-24
AT,Austin,2004-05-09
AT,Austin,2004-03-25
AT,Austin,2004-02-11
AT,Austin,2004-02-07
ST,Seattle,2004-04-26
AT,Austin,2004-06-06
AT,Austin,2004-05-06
AT,Austin,2004-06-11
DV,Denver,2004-03-17
ST,Seattle,2004-06-15
AT,Austin,2004-02-17
ST,Seattle,2004-05-05
ST,Seattle,2004-03-19
AT,Austin,2004-02-15
ST,Seattle,2004-05-03
AT,Austin,2004-02-21
DV,Denver,2004-04-02
